,Entity,Code,Year,Breast,Cervix,Colon,Leukaemia,Liver,Lung,Ovary,Prostate,Rectum,Stomach,Avg_survival_per_year,Avg_surv_per_country
93,Malta,MLT,2009.0,76.3,63.1,56.0,19.0,9.5,10.8,33.1,84.8,48.1,18.0,,41.544999999999995
94,Mauritius,MUS,2009.0,87.4,86.7,55.5,57.2,52.6,37.2,82.7,77.3,68.9,40.7,,64.62
95,Mongolia,MNG,2009.0,56.5,59.5,30.6,35.6,8.5,6.6,52.1,39.6,15.9,15.1,,32.0
96,Netherlands,NLD,1999.0,80.0,63.9,55.4,46.9,8.2,12.4,38.7,77.4,55.5,19.0,,47.66333333333333
97,Netherlands,NLD,2004.0,83.5,65.7,57.7,48.4,9.7,12.2,37.3,82.7,57.7,19.5,,47.66333333333333
98,Netherlands,NLD,2009.0,85.0,66.5,60.1,51.8,12.6,14.8,38.1,85.8,62.0,21.4,,47.66333333333333
99,New Zealand,NZL,1999.0,79.5,64.3,60.8,47.7,11.6,12.2,35.8,80.8,57.0,22.2,,49.49333333333333
100,New Zealand,NZL,2004.0,82.3,67.6,60.9,60.2,12.9,11.4,38.7,88.5,59.8,23.6,,49.49333333333333
101,New Zealand,NZL,2009.0,83.7,63.9,61.6,58.0,17.4,12.4,33.8,88.7,60.8,26.7,,49.49333333333333
102,Norway,NOR,1999.0,81.5,66.7,55.9,44.6,5.6,10.7,36.7,73.8,57.8,21.1,,48.47666666666667
103,Norway,NOR,2004.0,84.1,70.6,58.4,48.9,7.4,11.7,40.2,82.4,61.7,22.0,,48.47666666666667
104,Norway,NOR,2009.0,85.9,71.4,61.8,53.6,9.5,15.0,40.3,86.3,64.6,24.1,,48.47666666666667
105,Poland,POL,1999.0,66.9,50.0,40.0,44.1,7.9,11.4,30.6,54.3,36.7,14.2,,39.163333333333334
106,Poland,POL,2004.0,72.3,51.7,45.7,44.5,9.2,11.7,32.8,68.5,42.8,15.7,,39.163333333333334
107,Poland,POL,2009.0,74.1,53.0,50.1,49.0,10.4,13.4,34.3,74.1,46.9,18.6,,39.163333333333334
108,Portugal,PRT,1999.0,74.9,54.0,48.8,40.0,7.7,10.4,33.9,81.3,46.0,26.6,,46.50333333333334
109,Portugal,PRT,2004.0,81.4,60.3,56.3,41.2,13.4,10.4,39.4,87.2,54.2,29.7,,46.50333333333334
110,Portugal,PRT,2009.0,83.4,61.5,60.3,43.6,15.6,12.8,40.6,89.4,58.2,32.6,,46.50333333333334
111,Puerto Rico,PRI,2004.0,82.6,60.9,60.3,34.1,12.2,14.8,34.5,97.5,54.3,26.8,,47.765
112,Puerto Rico,PRI,2009.0,83.0,59.3,60.9,30.2,9.2,15.8,34.8,97.7,57.8,28.6,,47.765
114,Romania,ROU,2009.0,75.0,69.1,58.4,41.2,2.3,16.2,40.5,79.5,46.8,22.1,,45.11
115,Russia,RUS,2004.0,62.4,56.6,35.5,34.1,7.4,14.7,37.2,63.9,27.8,21.8,,37.745000000000005
116,Russia,RUS,2009.0,70.6,54.9,40.6,42.0,9.4,15.7,40.4,69.6,30.4,19.9,,37.745000000000005
119,Slovakia,SVK,2004.0,74.0,62.6,49.7,41.1,5.1,9.6,34.8,62.6,43.4,20.2,,40.035
120,Slovakia,SVK,2009.0,72.1,58.8,49.9,37.2,5.3,10.7,33.9,66.0,44.0,19.7,,40.035
121,Slovenia,SVN,1999.0,71.3,62.9,45.1,44.3,3.0,8.5,33.4,61.1,40.5,20.1,,42.79666666666667
122,Slovenia,SVN,2004.0,78.3,67.3,53.1,39.9,3.8,9.7,37.8,72.7,48.4,25.6,,42.79666666666667
123,Slovenia,SVN,2009.0,80.2,68.9,56.0,37.9,5.2,11.4,37.5,78.1,55.2,26.7,,42.79666666666667
124,South Africa,ZAF,1999.0,71.5,37.0,,,,,,,,,,54.333333333333336
125,South Africa,ZAF,2004.0,37.9,63.0,,,,,,,,,,54.333333333333336
126,South Africa,ZAF,2009.0,53.4,54.9,,,10.2,19.0,90.9,100.0,,,,54.333333333333336
127,South Korea,KOR,1999.0,76.7,73.7,42.5,15.4,10.8,9.6,42.1,63.7,51.6,32.8,,47.89999999999999
128,South Korea,KOR,2004.0,79.6,70.0,60.4,18.8,15.2,15.2,43.3,75.8,60.8,41.0,,47.89999999999999
